Date, Open, High, Low, Close
07/14/21, 1774.22, 1812.01, 1767.15, 1773.85
07/13/21, 1797.09, 1797.09, 1768.50, 1774.22
07/12/21, 1784.16, 1804.57, 1755.84, 1797.09
07/09/21, 1713.87, 1790.26, 1713.87, 1784.16
07/08/21, 1751.51, 1751.51, 1677.44, 1713.87
07/07/21, 1719.48, 1758.41, 1719.48, 1751.51
07/06/21, 1771.06, 1771.06, 1708.03, 1719.48
07/02/21, 1758.47, 1775.10, 1750.91, 1771.06
07/01/21, 1766.28, 1785.90, 1751.25, 1758.47
06/30/21, 1762.01, 1766.56, 1747.38, 1766.28
06/29/21, 1750.09, 1776.17, 1750.09, 1762.01
06/28/21, 1770.74, 1780.12, 1740.30, 1750.09
06/25/21, 1780.84, 1803.14, 1770.68, 1770.74
06/24/21, 1743.59, 1791.32, 1743.59, 1780.84
06/23/21, 1730.56, 1771.31, 1730.56, 1743.59
06/22/21, 1722.57, 1736.76, 1710.47, 1730.56
06/21/21, 1678.96, 1726.69, 1678.96, 1722.57
06/18/21, 1699.31, 1707.23, 1674.67, 1678.96
06/17/21, 1766.04, 1766.04, 1681.85, 1699.31
06/16/21, 1812.56, 1812.56, 1756.16, 1766.03
06/15/21, 1827.90, 1827.90, 1777.97, 1812.56
06/14/21, 1866.40, 1866.40, 1820.91, 1827.90
06/11/21, 1839.43, 1876.11, 1839.43, 1866.40
06/10/21, 1840.53, 1864.82, 1830.53, 1839.43
06/09/21, 1838.40, 1857.88, 1819.08, 1840.53
06/08/21, 1825.76, 1845.98, 1806.77, 1838.40
06/07/21, 1855.10, 1855.10, 1814.76, 1825.75
06/04/21, 1840.22, 1865.30, 1838.63, 1855.10
06/03/21, 1859.37, 1859.37, 1810.22, 1840.22
06/02/21, 1874.75, 1874.75, 1845.92, 1859.37
06/01/21, 1809.11, 1874.91, 1809.11, 1874.75
05/28/21, 1808.26, 1816.71, 1782.02, 1809.11
